date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,Result(home_team),,home advantage,,home-score(skaliert),away_score(skaliert)
04/01/2000,Egypt,Togo,2,1,Friendly,Aswan,Egypt,FALSE,1,,1,,0.064516129,0.047619048
07/01/2000,Tunisia,Togo,7,0,Friendly,Tunis,Tunisia,FALSE,1,,1,,0.225806452,0
08/01/2000,Trinidad and Tobago,Canada,0,0,Friendly,Port of Spain,Trinidad and Tobago,FALSE,0,,1,,0,0
09/01/2000,Burkina Faso,Gabon,1,1,Friendly,Ouagadougou,Burkina Faso,FALSE,0,,1,,0.032258065,0.047619048
09/01/2000,Guatemala,Armenia,1,1,Friendly,Los Angeles,United States,TRUE,0,,0,,0.032258065,0.047619048
09/01/2000,Ivory Coast,Egypt,2,0,Friendly,Abidjan,Ivory Coast,FALSE,1,,1,,0.064516129,0
09/01/2000,Mexico,Iran,2,1,Friendly,Oakland,United States,TRUE,1,,0,,0.064516129,0.047619048
11/01/2000,Bermuda,Canada,0,2,Friendly,Hamilton,Bermuda,FALSE,-1,,1,,0,0.095238095
11/01/2000,Burkina Faso,Cameroon,2,2,Friendly,Ouagadougou,Burkina Faso,FALSE,0,,1,,0.064516129,0.095238095
13/01/2000,Senegal,Cameroon,0,0,Friendly,Dakar,Senegal,FALSE,0,,1,,0,0
14/01/2000,China PR,New Zealand,1,0,Friendly,Guangzhou,China PR,FALSE,1,,1,,0.032258065,0
16/01/2000,Jamaica,New Zealand,2,1,Friendly,Guangzhou,China PR,TRUE,1,,0,,0.064516129,0.047619048
16/01/2000,United States,Iran,1,1,Friendly,Pasadena,United States,FALSE,0,,1,,0.032258065,0.047619048
18/01/2000,Ghana,Tunisia,2,0,Friendly,Accra,Ghana,FALSE,1,,1,,0.064516129,0
18/01/2000,Morocco,Trinidad and Tobago,1,0,Friendly,El Jadida,Morocco,FALSE,1,,1,,0.032258065,0
19/01/2000,Panama,Guatemala,2,0,Friendly,Panama City,Panama,FALSE,1,,1,,0.064516129,0
19/01/2000,Togo,Egypt,1,0,Friendly,Lomé,Togo,FALSE,1,,1,,0.032258065,0
20/01/2000,Burkina Faso,Algeria,1,0,Friendly,Ouagadougou,Burkina Faso,FALSE,1,,1,,0.032258065,0
20/01/2000,Malta,Qatar,2,0,Friendly,Attard,Malta,FALSE,1,,1,,0.064516129,0
21/01/2000,New Zealand,South Korea,0,1,Friendly,Auckland,New Zealand,FALSE,-1,,1,,0,0.047619048
22/01/2000,Ghana,Cameroon,1,1,African Cup of Nations,Accra,Ghana,FALSE,0,,1,,0.032258065,0.047619048
23/01/2000,China PR,Philippines,8,0,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE,1,,0,,0.258064516,0
23/01/2000,Egypt,Zambia,2,0,African Cup of Nations,Kano,Nigeria,TRUE,1,,0,,0.064516129,0
23/01/2000,New Zealand,South Korea,0,0,Friendly,Palmerston North,New Zealand,FALSE,0,,1,,0,0
23/01/2000,Nigeria,Tunisia,4,2,African Cup of Nations,Lagos,Nigeria,FALSE,1,,1,,0.129032258,0.095238095
23/01/2000,South Africa,Gabon,3,1,African Cup of Nations,Kumasi,Ghana,TRUE,1,,0,,0.096774194,0.047619048
23/01/2000,Vietnam,Guam,11,0,AFC Asian Cup qualification,Hanoi,Vietnam,FALSE,1,,1,,0.35483871,0
24/01/2000,DR Congo,Algeria,0,0,African Cup of Nations,Kumasi,Ghana,TRUE,0,,0,,0,0
24/01/2000,Ivory Coast,Togo,1,1,African Cup of Nations,Accra,Ghana,TRUE,0,,0,,0.032258065,0.047619048
24/01/2000,Qatar,Bosnia and Herzegovina,2,0,Friendly,Doha,Qatar,FALSE,1,,1,,0.064516129,0
25/01/2000,Burkina Faso,Senegal,1,3,African Cup of Nations,Kano,Nigeria,TRUE,-1,,0,,0.032258065,0.142857143
25/01/2000,Morocco,Congo,1,0,African Cup of Nations,Lagos,Nigeria,TRUE,1,,0,,0.032258065,0
26/01/2000,China PR,Guam,19,0,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE,1,,0,,0.612903226,0
26/01/2000,Costa Rica,Trinidad and Tobago,2,1,Friendly,San José,Costa Rica,FALSE,1,,1,,0.064516129,0.047619048
26/01/2000,Guatemala,Panama,1,1,Friendly,Guatemala City,Guatemala,FALSE,0,,1,,0.032258065,0.047619048
26/01/2000,Spain,Poland,3,0,Friendly,Cartagena,Spain,FALSE,1,,1,,0.096774194,0
26/01/2000,Uganda,Libya,3,2,Friendly,Kampala,Uganda,FALSE,1,,1,,0.096774194,0.095238095
26/01/2000,Vietnam,Philippines,3,0,AFC Asian Cup qualification,Hanoi,Vietnam,FALSE,1,,1,,0.096774194,0
27/01/2000,Ghana,Togo,2,0,African Cup of Nations,Accra,Ghana,FALSE,1,,1,,0.064516129,0
27/01/2000,South Africa,DR Congo,1,0,African Cup of Nations,Kumasi,Ghana,TRUE,1,,0,,0.032258065,0
28/01/2000,Cameroon,Ivory Coast,3,0,African Cup of Nations,Accra,Ghana,TRUE,1,,0,,0.096774194,0
28/01/2000,Egypt,Senegal,1,0,African Cup of Nations,Kano,Nigeria,TRUE,1,,0,,0.032258065,0
28/01/2000,Nigeria,Congo,0,0,African Cup of Nations,Lagos,Nigeria,FALSE,0,,1,,0,0
28/01/2000,United States Virgin Islands,Saint Lucia,0,9,Friendly,Saint Croix,United States Virgin Islands,FALSE,-1,,1,,0,0.428571429
29/01/2000,Algeria,Gabon,3,1,African Cup of Nations,Kumasi,Ghana,TRUE,1,,0,,0.096774194,0.047619048
29/01/2000,Chile,United States,1,2,Friendly,Coquimbo,Chile,FALSE,-1,,1,,0.032258065,0.095238095
29/01/2000,Philippines,Guam,2,0,AFC Asian Cup qualification,Hanoi,Vietnam,TRUE,1,,0,,0.064516129,0
29/01/2000,Tunisia,Morocco,0,0,African Cup of Nations,Lagos,Nigeria,TRUE,0,,0,,0,0
29/01/2000,Vietnam,China PR,0,2,AFC Asian Cup qualification,Hanoi,Vietnam,FALSE,-1,,1,,0,0.095238095
29/01/2000,Zambia,Burkina Faso,1,1,African Cup of Nations,Kano,Nigeria,TRUE,0,,0,,0.032258065,0.047619048
30/01/2000,United States Virgin Islands,Saint Lucia,0,2,Friendly,Saint Croix,United States Virgin Islands,FALSE,-1,,1,,0,0.095238095
31/01/2000,Cameroon,Togo,0,1,African Cup of Nations,Kumasi,Ghana,TRUE,-1,,0,,0,0.047619048
31/01/2000,Faroe Islands,Finland,0,1,Nordic Championship,Cartagena,Spain,TRUE,-1,,0,,0,0.047619048
31/01/2000,Ghana,Ivory Coast,0,2,African Cup of Nations,Accra,Ghana,FALSE,-1,,1,,0,0.095238095
31/01/2000,Iceland,Norway,0,0,Nordic Championship,Cartagena,Spain,TRUE,0,,0,,0,0
31/01/2000,Kuwait,Syria,4,0,Friendly,Kuwait City,Kuwait,FALSE,1,,1,,0.129032258,0
01/02/2000,British Virgin Islands,Saint Lucia,2,3,Friendly,Road Town,British Virgin Islands,FALSE,-1,,1,,0.064516129,0.142857143
01/02/2000,Egypt,Burkina Faso,4,2,African Cup of Nations,Kano,Nigeria,TRUE,1,,0,,0.129032258,0.095238095
01/02/2000,Zambia,Senegal,2,2,African Cup of Nations,Lagos,Nigeria,TRUE,0,,0,,0.064516129,0.095238095
02/02/2000,Armenia,Moldova,2,1,Cyprus International Tournament,Larnaca,Cyprus,TRUE,1,,0,,0.064516129,0.047619048
02/02/2000,DR Congo,Gabon,0,0,African Cup of Nations,Accra,Ghana,TRUE,0,,0,,0,0
02/02/2000,Costa Rica,Chile,1,0,Friendly,San José,Costa Rica,FALSE,1,,1,,0.032258065,0
02/02/2000,Cyprus,Lithuania,2,1,Cyprus International Tournament,Limassol,Cyprus,FALSE,1,,1,,0.064516129,0.047619048
02/02/2000,Finland,Iceland,0,1,Nordic Championship,Cartagena,Spain,TRUE,-1,,0,,0,0.047619048
02/02/2000,Romania,Latvia,2,0,Cyprus International Tournament,Paphos,Cyprus,TRUE,1,,0,,0.064516129,0
02/02/2000,South Africa,Algeria,1,1,African Cup of Nations,Kumasi,Ghana,TRUE,0,,0,,0.032258065,0.047619048
02/02/2000,Saint Kitts and Nevis,Saint Lucia,0,1,Friendly,Basseterre,Saint Kitts and Nevis,FALSE,-1,,1,,0,0.047619048
03/02/2000,Nigeria,Morocco,2,0,African Cup of Nations,Lagos,Nigeria,FALSE,1,,1,,0.064516129,0
03/02/2000,Tunisia,Congo,1,0,African Cup of Nations,Kano,Nigeria,TRUE,1,,0,,0.032258065,0
